SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	2140	9951792	3247128
9	2140	0	0
10	2140	0	0
0	2141	8217638	2365108
9	2141	821712	410856
10	2141	912442	456221
0	2142	9951792	3276601
9	2142	0	0
10	2142	0	0
0	2143	9951792	3280970
9	2143	0	0
10	2143	0	0
0	2144	9951792	3274828
9	2144	0	0
10	2144	0	0
0	2145	9951792	3283479
9	2145	0	0
10	2145	0	0
0	2146	9951792	3292142
9	2146	0	0
10	2146	0	0
0	2147	9951792	3288965
9	2147	0	0
10	2147	0	0
0	2148	9951792	3293921
9	2148	0	0
10	2148	0	0
0	2149	9951792	3271776
9	2149	0	0
10	2149	0	0
0	2150	9951792	3274178
9	2150	0	0
10	2150	0	0
0	2151	9951792	3284832
9	2151	0	0
10	2151	0	0
0	2152	9951792	3301637
9	2152	0	0
10	2152	0	0
0	2153	9951792	3271854
9	2153	0	0
10	2153	0	0
0	2154	9951792	3285655
9	2154	0	0
10	2154	0	0
0	2155	9951792	3302245
9	2155	0	0
10	2155	0	0
0	2156	9951792	3300834
9	2156	0	0
10	2156	0	0
0	2157	9951792	3318864
9	2157	0	0
10	2157	0	0
0	2158	9951792	3340433
9	2158	0	0
10	2158	0	0
0	2159	9951792	3373821
9	2159	0	0
10	2159	0	0
0	2160	9951792	3375871
9	2160	0	0
10	2160	0	0
0	2161	9951792	3372172
9	2161	0	0
10	2161	0	0
0	2162	9951792	3373430
9	2162	0	0
10	2162	0	0
0	2163	9951792	3417673
9	2163	0	0
10	2163	0	0
0	2164	9951792	3426726
9	2164	0	0
10	2164	0	0
0	2165	9951792	3395631
9	2165	0	0
10	2165	0	0
0	2166	9951792	3458767
9	2166	0	0
10	2166	0	0
0	2167	9951792	3483964
9	2167	0	0
10	2167	0	0
0	2168	9951792	3487282
9	2168	0	0
10	2168	0	0
0	2169	9951792	3496521
9	2169	0	0
10	2169	0	0
0	2170	9951792	3504961
9	2170	0	0
10	2170	0	0
0	2171	9951792	3488999
9	2171	0	0
10	2171	0	0
0	2172	9951792	3497707
9	2172	0	0
10	2172	0	0
0	2173	9951792	3526592
9	2173	0	0
10	2173	0	0
0	2174	9951792	3546118
9	2174	0	0
10	2174	0	0
0	2175	9951792	3545652
9	2175	0	0
10	2175	0	0
0	2176	9951792	3462113
9	2176	0	0
10	2176	0	0
0	2177	9951792	3488216
9	2177	0	0
10	2177	0	0
0	2178	9951792	3505895
9	2178	0	0
10	2178	0	0
0	2179	9951792	3541574
9	2179	0	0
10	2179	0	0
0	2180	9951792	3549391
9	2180	0	0
10	2180	0	0
0	2181	9951792	3565641
9	2181	0	0
10	2181	0	0
0	2182	9951792	3574395
9	2182	0	0
10	2182	0	0
0	2183	9951792	3589095
9	2183	0	0
10	2183	0	0
0	2184	9951792	3572263
9	2184	0	0
10	2184	0	0
0	2185	9951792	3553066
9	2185	0	0
10	2185	0	0
0	2186	9951792	3563245
9	2186	0	0
10	2186	0	0
0	2187	9951792	3547042
9	2187	0	0
10	2187	0	0
0	2188	9951792	3529235
9	2188	0	0
10	2188	0	0
0	2189	9951792	3504522
9	2189	0	0
10	2189	0	0
0	2190	9951792	3489437
9	2190	0	0
10	2190	0	0
0	2191	9951792	3489481
9	2191	0	0
10	2191	0	0
0	2192	9951792	3498089
9	2192	0	0
10	2192	0	0
0	2193	9951792	3497694
9	2193	0	0
10	2193	0	0
0	2194	9951792	3520813
9	2194	0	0
10	2194	0	0
0	2195	9951792	3519438
9	2195	0	0
10	2195	0	0
0	2196	9951792	3487514
9	2196	0	0
10	2196	0	0
0	2197	9951792	3396815
9	2197	0	0
10	2197	0	0
0	2198	4751864	599692
9	2198	2496628	1248314
10	2198	2703300	1351650
0	2201	5197546	639202
9	2201	2288196	1144098
10	2201	2466050	1233025
0	2202	4993848	646573
9	2202	2395574	1197787
10	2202	2562370	1281185
0	2203	8315898	2306840
9	2203	783700	391850
10	2203	852194	426097
0	2204	9951792	3149072
9	2204	0	0
10	2204	0	0
0	2205	5062834	610015
9	2205	2356402	1178201
10	2205	2532556	1266278
0	2206	4920372	672444
9	2206	2413972	1206986
10	2206	2617448	1308724
0	2207	9951792	3204382
9	2207	0	0
10	2207	0	0
0	2208	6677722	1567687
9	2208	1570456	785228
10	2208	1703614	851807
0	2209	8277738	2346559
9	2209	803384	401692
10	2209	870670	435335
0	2210	8259432	2355301
9	2210	816588	408294
10	2210	875772	437886
0	2211	6588644	1488820
9	2211	1621166	810583
10	2211	1741982	870991
0	2212	8274172	2330633
9	2212	806696	403348
10	2212	870924	435462
0	2213	6547424	1484270
9	2213	1640272	820136
10	2213	1764096	882048
0	2214	4867944	637082
9	2214	2442652	1221326
10	2214	2641196	1320598
0	2215	8248088	2349760
9	2215	819190	409595
10	2215	884514	442257
0	2216	6533394	1480451
9	2216	1646326	823163
10	2216	1772072	886036
0	2217	8262018	2363713
9	2217	809470	404735
10	2217	880304	440152
0	2218	4803770	635325
9	2218	2474296	1237148
10	2218	2673726	1336863
0	2219	4905128	703171
9	2219	2414984	1207492
10	2219	2631680	1315840
0	2220	4745598	636704
9	2220	2502168	1251084
10	2220	2704026	1352013
0	2221	4919098	620911
9	2221	2414376	1207188
10	2221	2618318	1309159
0	2222	8389812	2364446
9	2222	745774	372887
10	2222	816206	408103
0	2223	6636278	1517581
9	2223	1583000	791500
10	2223	1732514	866257
0	2224	8153982	2481119
9	2224	857942	428971
10	2224	939868	469934
0	2225	9951792	3381455
9	2225	0	0
10	2225	0	0
0	2226	9951792	3349388
9	2226	0	0
10	2226	0	0
0	2227	9951792	3285606
9	2227	0	0
10	2227	0	0
0	2228	9951792	3261611
9	2228	0	0
10	2228	0	0
0	2229	9951792	3264003
9	2229	0	0
10	2229	0	0
0	2230	9951792	3271026
9	2230	0	0
10	2230	0	0
0	2231	9951792	3290809
9	2231	0	0
10	2231	0	0
0	2232	9951792	3285729
9	2232	0	0
10	2232	0	0
0	2233	9951792	3276918
9	2233	0	0
10	2233	0	0
0	2234	8189754	2400782
9	2234	842872	421436
10	2234	919166	459583
0	2235	8196480	2399579
9	2235	837312	418656
10	2235	918000	459000
0	2236	9951792	3278733
9	2236	0	0
10	2236	0	0
0	2237	9951792	3270715
9	2237	0	0
10	2237	0	0
0	2238	9951792	3247951
9	2238	0	0
10	2238	0	0
0	2239	9951792	3240498
9	2239	0	0
10	2239	0	0
0	2240	9951792	3257699
9	2240	0	0
10	2240	0	0
0	2241	9951792	3304279
9	2241	0	0
10	2241	0	0
0	2242	9951792	3329461
9	2242	0	0
10	2242	0	0
0	2243	9951792	3318407
9	2243	0	0
10	2243	0	0
0	2244	9951792	3317528
9	2244	0	0
10	2244	0	0
0	2245	9951792	3325369
9	2245	0	0
10	2245	0	0
0	2246	9951792	3315476
9	2246	0	0
10	2246	0	0
0	2247	9951792	3302681
9	2247	0	0
10	2247	0	0
0	2248	9951792	3291384
9	2248	0	0
10	2248	0	0
0	2249	9951792	3300380
9	2249	0	0
10	2249	0	0
0	2250	9951792	3291751
9	2250	0	0
10	2250	0	0
0	2251	9951792	3281429
9	2251	0	0
10	2251	0	0
0	2252	9951792	3282995
9	2252	0	0
10	2252	0	0
0	2253	9951792	3294125
9	2253	0	0
10	2253	0	0
0	2254	9951792	3285932
9	2254	0	0
10	2254	0	0
0	2255	9951792	3292800
9	2255	0	0
10	2255	0	0
0	2256	9951792	3291180
9	2256	0	0
10	2256	0	0
0	2257	9951792	3336308
9	2257	0	0
10	2257	0	0
0	2258	9951792	3350936
9	2258	0	0
10	2258	0	0
0	2259	9951792	3351449
9	2259	0	0
10	2259	0	0
0	2260	9951792	3331630
9	2260	0	0
